+====================+===================+=============================+
| Launch Setup Clock | Launch Hold Clock | Pin                         |
+====================+===================+=============================+
| sys_clk            | sys_clk           | h_q2_p3/alpha_i_s1_reg[0]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_i_s1_reg[3]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_i_s1_reg[1]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_r_s1_reg[3]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_i_s1_reg[4]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_r_s1_reg[2]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_i_s1_reg[5]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_i_s1_reg[6]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_i_s1_reg[7]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_i_s1_reg[2]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_r_s1_reg[5]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_r_s1_reg[1]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_r_s1_reg[0]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_r_s1_reg[4]/D |
| sys_clk            | sys_clk           | h_q2_p0/beta_i_s1_reg[2]/D  |
| sys_clk            | sys_clk           | h_q2_p3/alpha_r_s1_reg[6]/D |
| sys_clk            | sys_clk           | h_q2_p3/alpha_r_s1_reg[7]/D |
| sys_clk            | sys_clk           | h_q2_p0/beta_i_s1_reg[3]/D  |
| sys_clk            | sys_clk           | h_q2_p0/beta_i_s1_reg[1]/D  |
| sys_clk            | sys_clk           | h_q2_p0/beta_i_s1_reg[0]/D  |
| sys_clk            | sys_clk           | h_q2_p0/beta_i_s1_reg[6]/D  |
| sys_clk            | sys_clk           | h_q2_p0/beta_i_s1_reg[4]/D  |
| sys_clk            | sys_clk           | h_q2_p0/beta_i_s1_reg[7]/D  |
